supplier_name_original,abn,acn,match_method
Tesserent Cyber Services,,,
"PSG Eyewear (Essilor Australia Pty Ltd, previously Prescription Safety Glasses Pty Ltd)",,,
a Citadel People,,,
2inspire International,,,
MGM One Construction Services Pty Ltd Atf Moscos Family Trust,,,
Louis Gravestein (Contract Manager),,,
Supplier Details:	Flick Anticimex Pty Ltd,,,
Strive Occupational Rehabilitation,,,
Gripfast Consulting Pty Ltd,,,
Hive.net.au,,,
141 – 149 Logan Road,,,
Motor School,,,
Teleflex Australia Pty Ltd,,,
• Dentsply Sirona Pty Ltd,,,
Bio-Excel (Aust) P,,,
• Multigate Medical Products Pty Ltd,,,
Strategic Momentum Group,,,
Australian Red Cross,,,
Landmark Products Pty Ltd,,,
Bluerydge Unit Trust T,,,
Computer One,,,
RCP,,,
Email: stuart.aird@bfx.com.au,,,
Aspirante Pty Ltd (formerly Ambitor and Beyond Technology),,,
Betabuild Pty Ltd,,,
Conrad Gargett,,,
Sekuro Pty Ltd,,,
Towill Design Group Pty Ltd,,,
Nilsen (Qld) Pty Ltd,,,
Lisle Health Collaborative MBMpl Pty Ltd,,,
Damar Industries Pty Limited,,,
Isentia Group Limited (Isentia),,,
The Capworks Group,,,
or,,,
ELVERY'S ELECTRICAL SERVICE PTY LTD,,,
One Bright Cloud Pty Ltd (t,,,
Velrada Capital Pty Ltd (t,,,
Borchi Group Pty Ltd,,,
Austek Constructions Pty Ltd t,,,
EVIDENT AUSTRALIA PTY LTD,,,
Ignite Limited,,,
Mycar Tyre & Auto Service,,,
"THOMPSON, JEFFREY PETER",,,
SEMZ Property Advisory & Project Management Pty Ltd,,,
Karlka Recruiting Group Pty Ltd,,,
Donald Cant Watts Croke (LQD) Pty Ltd,,,
3D Mind Solutions,,,
Lifehealthcare Distribution Pty Limited,,,
Bitzios Consulting Pty Ltd ATF The Bitzios Family Trust T,,,
Arthrex Australia Pty Ltd,,,
Contact:  Benjamin Hogg,,,
NTT Australia Pty Ltd - ABN 65003371239,65003371239.0,,extracted_from_name
Medimobile,,,
Contact:  Ken Hobl,,,
TONY STEPHENS REFRIGERATION PTY LTD,,,
The Turner Group Pty Ltd,,,
Gamma Gurus Pty Ltd,,,
Mobile: 0403577495,,,
Global Sourcing Services Pty Ltd,,,
Telephone: 1300 667 084,,,
Phone:   07 3489 5028,,,
"Evexia,",,,
CETEC PTY. LTD.,,,
Arup Australia Pty Limited,,,
WEBBEC PTY LTD,,,
BDO Services Pty Ltd,,,
Amal Group,,,
Dykman Consulting Pty Ltd,,,
Hill-Rom Pty Ltd,,,
a Strategic Project Partners Pty Ltd),,,
Comprara Group Pty Ltd,,,
Symbion Pty Ltd,,,
Protech Personnel Pty Ltd,,,
26 Brandl St,,,
Nexxt Group,,,
CONTACT: Ian Furber,,,
TOOEASY CARPENTRY & MAINTENANCE PTY LTD,,,
a Intelligent Traffic Systems (iTS),,,
Remondis Australia Pty Ltd,,,
Report Simple,,,
Office Telephone: 0417 453 165,,,
• Hyundai,,,
Terumo Corporation,,,
Fax: 07 3892 3109,,,
Struddys,,,
ACM Recruitment Pty Ltd,,,
"Contact Person: Rod O’Keeffe – State Sales Manager, Queensland",,,
Your Trades,,,
SYPAQ,,,
Reveur Pty Ltd,,,
Abacus dx Pty Ltd,,,
Pitt & Sherry (Operations) Pty Ltd,,,
Adobe Licensing Centres,,,
"Aserve Pty Ltd, ABN: 51 638 301 881, 7 Welch Street, Underwood Qld 4119, Contact: Cameron Stanfield, M. 0459 033 623 P. 1300 953 165 Email: aserveqld.tenders@aserve.com.au",51638301881.0,,extracted_from_name
Helmsman Services Pty Ltd,,,
Email address: hospital@ch2.net.au,,,
ABN 29 084 736 069,29084736069.0,,extracted_from_name
Key Data Consulting Pty Ltd,,,
Designtek Pty Ltd,,,
Aither Pty Ltd,,,
The University of Queensland (Institute for Social Science Research),,,
System Air Pty Ltd,,,
Tekoi Consulting Pty Ltd - ABN 63642127991,63642127991.0,,extracted_from_name
• Sprout Strategy (Sprout Research),,,
Acceler Project Management,,,
ABN: 24 078 961 136,24078961136.0,,extracted_from_name
Decision Point Consulting Unit Trust (t,,,
LAB3 Pty Ltd,,,
Email:  betabuild@betabuild.com.au,,,
Top Office Group Pty Ltd,,,
Telephone:  07 3356 5777,,,
Advanced Sterilization Products Australia Pty Ltd,,,
Colliers Valuation & Advisory Services,,,
Construction Project Management Pty Ltd,,,
Glen Fisk Pty Ltd,,,
"South Pacific Welding Group Pty Ltd, ABN: 46 078 830 878, 7 Westgate Street, Wacol QLD 4076, Contact: Chris Garland, Phone: (07) 3718 0800, Mobile: 0455 083 865, Email: chris.garland@spwgroup.com.au, Machinery Category: Part A",46078830878.0,,extracted_from_name
Lawrence & Hanson Group Pty Ltd (L&H),,,
TSA Management Pty Ltd,,,
Hayes Information Systems,,,
Phone: 1300 720 274,,,
Adapt Education,,,
Easec,,,
• Lonergan Research,,,
Grid Statistical Services,,,
ID-PLATE Pty Ltd T,,,
Tactiv,,,
Fujitsu Australia Ltd - ABN 19001011427,19001011427.0,,extracted_from_name
Turner & Townsend Project Management Pty Ltd,,,
Procurement Solutions Pty Ltd,,,
FiveP Australia,,,
Email: phil@qld.directnational.com.au,,,
Group 1 – Employee Assistance Services,,,
* Smartrak,,,
AHP Medical Pty Ltd,,,
a Lighthouse HQ),,,
Indigenous Contractors Australia Pty Ltd,,,
WHF PMM Pty Ltd,,,
Telmead Pty Ltd (trading as Medical Accessories of Australia),,,
Thinkstorm Pty Ltd,,,
Simpatico Safety Training and Consultancy (Cooper Cole Pty Ltd),,,
Velocity Partners,,,
A.G.Coombs,,,
Veolia Environmental Services (Australia) Pty Ltd,,,
National Workforce Pty Ltd,,,
"Bungalow, CAIRNS  QLD  4870",,,
"Refer to the HSQ101256 Grocery, Dairy and Beverage Award File",,,
Mobile: 0413 202 478,,,
ARA FIRE PROTECTION SERVICES PTY LIMITED,,,
Baseline Projects Pty Ltd,,,
• Cardinal Health Australia 503 Pty Ltd,,,
Aalto Pty Ltd,,,
NetApp Australia Pty Ltd (t,,,
NTT Australia Digital Pty Ltd,,,
PO Box 714,,,
EBOS Group Australia Pty Ltd,,,
Advance Vision Technology (Aust) Pty Ltd,,,
C5 Technology Pty Ltd,,,
Board Associates,,,
Project Strategies Australia Pty Ltd,,,
Alliance Surgical Pty Ltd,,,
Bard Australia Pty Ltd,,,
Sebel Pty Ltd (formerly Sebel Furniture Pty Ltd),,,
Aldridge Traffic Systems Pty Limited T,,,
Contact: Elizabeth McKellar,,,
WyldLynx Pty Ltd,,,
A MNF Enterprise Services – ABN 73109671285,73109671285.0,,extracted_from_name
CBRE (GCS) Pty Limited,,,
Mooloolaba Music,,,
ACT Logistics,,,
Project Delivery Managers Pty Ltd,,,
SDFC Australia Pty Ltd t,,,
Carers Plus Australia Pty Ltd,,,
Cyient (formerly Infotech Enterprises Ltd),,,
FNQ Stonework,,,
Infosys,,,
Redwolf+Rosch,,,
Opal Holdings (QLD) Pty Ltd,,,
Ducidium Pty Ltd,,,
Rider Levett Bucknall QLD Pty Ltd,,,
Clicks IT Recruitment,,,
Dell Australia Pty Ltd,,,
Comunity Support Centre Innisfail Inc,,,
Resilience Outcomes Australia Pty Ltd,,,
CORE DEVELOPMENTS NQ PTY LTD,,,
Jaspa Herington Pty Ltd,,,
Sekuro Operations Pty Ltd,,,
Fresenius Kabi Australia Pty Ltd,,,
Mobile Tyre Shop,,,
PM Solutions (Australia) Pty Ltd (Belmar trust),,,
Rapid Circle Pty Ltd (formerly Adopt & Embrace),,,
Savills Project Management Pty Ltd,,,
Pty Ltd Deloitte Touche Tohmatsu,,,
Hutchinson Builders_Hutchies,,,
Turner & Townsend Project Management Pty Ltd) (Previously known as Turner & Townsend Thinc Pty Ltd),,,
KPMG,,,
Cube Cybersecurity Pty Ltd,,,
A Vertel – ABN 90086050946,90086050946.0,,extracted_from_name
ABN: 31 169 153 468,31169153468.0,,extracted_from_name
Advanced Personnel Management (APM),,,
BDO (QLD) Pty Ltd,,,
ABN: 29 075 871 813,29075871813.0,,extracted_from_name
"Michael E Ostdick, Landscape Architect",,,
Privacy 108 Consulting Pty Ltd,,,
Abacus DX Pty Ltd InstrumeC PtyLtd,,,
SALISBURY  QLD  4107,,,
Max Stocks,,,
Orion Satellite Systems Pty Ltd – ABN 26103918832,26103918832.0,,extracted_from_name
Aware Services Pty Ltd,,,
DWF (Australia),,,
Generation-e Productivity Solutions Pty Ltd – ABN 25163718714,25163718714.0,,extracted_from_name
ProQuest LLC,,,
Turnitin LLC,,,
Formula Interiors Pty Ltd,,,
Datacom Systems Pty Ltd - ABN 63011044349,63011044349.0,,extracted_from_name
"TPL Connect, ABN: 14 136 958 711, 123",14136958711.0,,extracted_from_name
Talenza QLD Pty Ltd,,,
Care Essentials Pty Ltd,,,
Speedcast Australia Pty Ltd – ABN 28159524553,28159524553.0,,extracted_from_name
Reid Healthcare Pty Ltd,,,
H & S COMMUNICATIONS PTY LTD,,,
153 Burnside Road,,,
Encompass Safety (SLLIC PTY LTD),,,
Ernst and Young,,,
Logicalis Australia Pty Ltd,,,
TAFE Queensland,,,
Mobile: 0423 320 330,,,
"Cerno Australia,",,,
Tridant Pty Ltd,,,
Human Synergistics PTY LTD,,,
Australian Medical Supplies Pty Ltd,,,
Code Zeno,,,
Woods Bagot Pty Ltd,,,
CONTACT: Matthew Spoljarevic,,,
Planit Test Management Pty Ltd,,,
Fresh Tracks (Fresh Trx Pty Ltd),,,
ATOM,,,
Ockham Consulting,,,
• Becton Dickinson Pty Ltd,,,
LAKE AIR SYSTEMS PTY LIMITED,,,
SEQ ELECTRICAL CONTRACTORS PTY LTD,,,
Black & More,,,
Genesis IT&T Pty Ltd,,,
Open Declare Pty Ltd,,,
Contact: Tony Weller,,,
• Stryker Australia Pty Ltd,,,
Capworks Management (Queensland) Pty Ltd,,,
Nous,,,
Verifact Pty Ltd,,,
The Information Management Group Pty Ltd,,,
FHR Investments (QLD) Pty Ltd t,,,
THE FITOUT DEPT. PTY LTD,,,
WHF Property & Mine Maintenance Pty Ltd,,,
CMP CORP PTY LTD,,,
Probuild Industries Australia Pty Ltd,,,
Facet Consulting Pty Ltd,,,
ArcBlue Consulting (Aus) Pty Ltd,,,
For Generic Procedure Packs:,,,
Maxima Training Group (Aust) Ltd,,,
Tech For Good Australia,,,
Thelem Consulting Pty Ltd (CBRE),,,
SafetyQuip Sunshine Coast,,,
Accord Consultancy,,,
Merit Solutions - Recruitment,,,
Nectar Healthcare Pty Ltd,,,
"ISG Information Services Group Americas, Inc - ABN 85108959360",85108959360.0,,extracted_from_name
CorCyber Pty Ltd,,,
Infrastructure Design & Innovation Pty Ltd,,,
Chinchilla Family Support Centre Inc,,,
ERS Queensland,,,
Chrome Consulting Pty Ltd,,,
Revolution Surgical Pty Ltd,,,
Alliance Leasing Pty Ltd,,,
Chandler Macleod Group Pty Ltd,,,
Traffic Control Supplies Pty Ltd (TCS),,,
LifeHealthcare Distribution Pty Ltd,,,
"IPS,",,,
Play Force Pty Ltd,,,
www.brandons.com.au,,,
RICHARDSON'S BUILDING SERVICE,,,
Kiah Consulting Pty Ltd,,,
Sonata Australia Pty Ltd,,,
FK Gardner & Sons Pty Ltd,,,
KPI SERVICES (QLD) PTY LTD,,,
Nutricia Australia Pty Ltd,,,
Allectum Pty Ltd,,,
Bickerton Masters Architecture Pty Ltd,,,
GROUP CCTV PTY LTD,,,
Zeep Medical Pty Ltd,,,
Computec Aust Pty Ltd,,,
Content Security Pty Ltd,,,
Mobile: 0404 852 797,,,
Rehab Management,,,
Complete Urban Pty Ltd,,,
TE & MK GUNN,,,
Paul Ziukelis Architects,,,
B Braun Australia Pty Ltd,,,
Gravity Consulting Services Pty Ltd,,,
Dr Oncall Pty Ltd,,,
ICT360 Pty Ltd,,,
EVSE Australia Pty Ltd,,,
"PD Training,",,,
Integration Works Australia,,,
• Coloplast Pty Ltd,,,
A Vocus Communications – ABN 78127842853,78127842853.0,,extracted_from_name
BGIS Pty Ltd,,,
Husqvanna Aust Pty Ltd,,,
Email: claims@rizon.com.au,,,
ABN: 62 086 537 279,62086537279.0,,extracted_from_name
Integrum Management Systems Pty Ltd,,,
Datacom Systems (Australia) Pty Ltd,,,
PMCi,,,
Future Music,,,
QITC,,,
GOBI Library Solutions,,,
Complete Office Supplies,,,
Mobile: 0487 020 237,,,
HBAYCC Pty Ltd,,,
Cook Medical Australia Pty Ltd,,,
Glo Digital,,,
• IPS Management Consultants (Indigenous Professional Services),,,
Group 10 Consulting Pty Ltd,,,
GHD Advisory,,,
"RioT Solutions, ABN 73 606 466 102",73606466102.0,,extracted_from_name
ESRI Australia Pty Ltd,,,
TechForce Services Pty Ltd,,,
Telephone: (07) 3421 3200,,,
Navicle Pty Ltd (t,,,
1ICT Pty Ltd - www.1ict.com.au,,,
Pragma Partners Pty Ltd,,,
Multhana Property Services Pty Ltd (Indigenous Business),,,
Comprara Pty ltd,,,
Ikaria Australia Pty Ltd,,,
AEV Practice Trust T,,,
P2E,,,
